Period Ended,GDP Factor Cost,GDP Market Prices
1980,1535.8,1730.5
1981,1706.2,1904.6
1982,1784.2,1990
1983,1899.2,2112.9
1984,2074.6,2302.8
1985,2180.9,2410.2
1986,2297.4,2646.1
1987,2499,2913.8
1988,2667.6,3099.2
1989,2909.7,3427.2
1990,2965.2,3440.1
1991,2893.7,3393.7
1992,2707.3,3176.3
1993,2801.4,3308.9
1994,2934,3485.1
1995,3160,3742.4
1996,3401.1,3994.8
1997,3606.8,4390.9
1998,3906.9,4740.8
1999,4130.3,4955.6
2000,4225.9,5117.7
2001,4233.1,5108.4
2002,4066,4952.2
2003,4334.7,5389.8
2004,4632.5,5664.9
2005,4940.1,5971.2
2006,5256.3,6373.7
2007,5658.9,6903.8
2008,5700,7106.1
